fault_locator,acc@1,acc@3,acc@5,mean_average_precision,mean_wasted_effort,rank
DStar, 7, 11, 13, 0.40481335127839801, 25.800000000000001,3
Naish2, 7, 11, 12, 0.37233406209008568, 30.48,6
GP13, 7, 11, 12, 0.37659291215862623, 29.559999999999999,5
Barinel, 8, 13, 16, 0.41904635925264733, 11.48,1
Ochiai, 7, 13, 14, 0.41912332509484534, 23.68,2
GP19, 7, 11, 14, 0.39027839356467153, 30.760000000000002,4
Tarantula, 8, 13, 16, 0.41904635925264733, 11.48,1
TarantulaStar, 7, 11, 12, 0.38567480297231554, 28.280000000000001,4
