fault_locator,acc@1,acc@3,acc@5,mean_average_precision,mean_wasted_effort,rank
DStar, 9, 10, 13, 0.34023842261161369, 32.799999999999997,2
Naish2, 7, 9, 12, 0.29172738536607168, 43.600000000000001,5
GP13, 7, 9, 12, 0.29176576384963954, 35.840000000000003,4
Barinel, 5, 7, 10, 0.26343645369777241, 40.600000000000001,7
Ochiai, 9, 10, 13, 0.34127065841003701, 31.719999999999999,1
GP19, 8, 9, 13, 0.3086444535655461, 32.520000000000003,3
Tarantula, 5, 7, 10, 0.26344977943689268, 40.600000000000001,6
TarantulaStar, 8, 10, 13, 0.31246316993817463, 32.240000000000002,2
