fault_locator,acc@1,acc@3,acc@5,mean_average_precision,mean_wasted_effort,rank
DStar, 30, 37, 38, 0.80306481102370886, 2.25,2
Naish2, 30, 37, 38, 0.82137084454243736, 3.25,3
GP13, 30, 37, 38, 0.81764814435704236, 2.2250000000000001,1
Barinel, 27, 34, 38, 0.7738535014998994, 2.4500000000000002,5
Ochiai, 30, 36, 38, 0.79734899905789702, 2.3250000000000002,4
GP19, 30, 37, 38, 0.81764814435704236, 2.2250000000000001,1
Tarantula, 27, 34, 38, 0.7738535014998994, 2.4500000000000002,5
TarantulaStar, 30, 37, 38, 0.81764814435704236, 2.2250000000000001,1
