fault_locator,acc@1,acc@3,acc@5,mean_average_precision,mean_wasted_effort,rank
DStar, 6, 9, 10, 0.40910110468241301, 30.399999999999999,3
Naish2, 6, 9, 9, 0.37364485033987982, 36.0,7
GP13, 6, 9, 9, 0.37382555578269822, 35.100000000000001,6
Barinel, 7, 11, 13, 0.42689236465022473, 12.5,1
Ochiai, 6, 11, 11, 0.42698857195297224, 27.75,2
GP19, 6, 9, 10, 0.38796703957488698, 37.049999999999997,5
Tarantula, 7, 11, 13, 0.42689236465022473, 12.5,1
TarantulaStar, 6, 9, 9, 0.38450947010194902, 33.5,4
