fault_locator,acc@1,acc@3,acc@5,mean_average_precision,mean_wasted_effort,rank
DStar, 6, 8, 9, 0.38006889548167377, 46.049999999999997,4
Naish2, 5, 7, 8, 0.32486835611665343, 49.549999999999997,6
GP13, 5, 7, 8, 0.32486835611665343, 49.549999999999997,6
Barinel, 6, 11, 12, 0.4204111798687924, 33.100000000000001,2
Ochiai, 6, 9, 10, 0.39141224151968401, 43.600000000000001,3
GP19, 5, 7, 9, 0.3324334606668608, 50.049999999999997,5
Tarantula, 6, 11, 12, 0.42048528008050728, 33.100000000000001,1
TarantulaStar, 5, 7, 8, 0.3241254027159321, 48.5,6
