fault_locator,acc@1,acc@3,acc@5,mean_average_precision,mean_wasted_effort,rank
DStar, 9, 10, 14, 0.33676771404962857, 31.615384615384617,2
Naish2, 7, 9, 13, 0.2901224859289151, 42.0,5
GP13, 7, 9, 13, 0.29015938831696109, 34.53846153846154,4
Barinel, 5, 7, 11, 0.26291966701708885, 39.115384615384613,7
Ochiai, 9, 10, 14, 0.33776024847118941, 30.576923076923077,1
GP19, 8, 9, 14, 0.30638889765917898, 31.346153846153847,3
Tarantula, 5, 7, 11, 0.26293248022778143, 39.115384615384613,6
TarantulaStar, 8, 10, 14, 0.31006074032516795, 31.076923076923077,2
