fault_locator,acc@1,acc@3,acc@5,mean_average_precision,mean_wasted_effort,rank
DStar, 10, 25, 30, 0.24615949876489152, 21.376623376623378,1
Naish2, 9, 24, 30, 0.23647019542628533, 21.740259740259742,3
GP13, 9, 24, 30, 0.23657894808052921, 21.740259740259742,2
Barinel, 10, 23, 28, 0.2347045030672377, 23.233766233766232,6
Ochiai, 9, 24, 29, 0.23303329155851127, 21.688311688311689,5
GP19, 10, 25, 30, 0.23754206606652808, 27.7012987012987,2
Tarantula, 10, 23, 28, 0.23470254778072958, 23.233766233766232,7
TarantulaStar, 9, 25, 29, 0.23551733854305035, 21.753246753246753,4
